environment_id,environment_sha256,initial_scene_path,initial_scene_sha256,legacy_cell_id,legacy_layout_id,numbering_basis,paired_environment_id,source_family,source_number,tool_mechanism
028,2dd0aa419b6792d92f658e74820f449025b07393a024f00e7d93d1da9021d7eb,initial_scene.png,7c4ff2d004f5ce4632fc7e94403c6859480dd7b3e03034f734f20e27c84aa4f6,Balance_5_upward,Balance_5,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",027,Balance,5,upward
029,bf278eb748763f3b12a995cd1c64629aeddff931fb64935e691b259740d10daa,initial_scene.png,e5d7d3dcd9d0fa090935f283bde1965162173e27d36322646b515efbe009b00d,Balance_7_downward,Balance_7,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",030,Balance,7,downward
030,bf278eb748763f3b12a995cd1c64629aeddff931fb64935e691b259740d10daa,initial_scene.png,e5d7d3dcd9d0fa090935f283bde1965162173e27d36322646b515efbe009b00d,Balance_7_upward,Balance_7,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",029,Balance,7,upward
031,34645b67d82e668583a7b9da65d1c9179018896672d4402253bc8b84d277dfc2,initial_scene.png,4d080b2a699a0f0a3534ba7aec43b94e6dc4d1291b5ddf1e2f46cda6adab3eb2,Balance_8_downward,Balance_8,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",032,Balance,8,downward
032,34645b67d82e668583a7b9da65d1c9179018896672d4402253bc8b84d277dfc2,initial_scene.png,4d080b2a699a0f0a3534ba7aec43b94e6dc4d1291b5ddf1e2f46cda6adab3eb2,Balance_8_upward,Balance_8,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",031,Balance,8,upward
033,03b0c0c8d9b6616626d1998b17d7f951f935e809866eb554d39fbd2bc43b1f10,initial_scene.png,f9bd150f6ccf04dec8e4abba0e59fa8fedadbafa50f4a296baf0bd0ad2b4c2fa,Balance_10_downward,Balance_10,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",034,Balance,10,downward
034,03b0c0c8d9b6616626d1998b17d7f951f935e809866eb554d39fbd2bc43b1f10,initial_scene.png,f9bd150f6ccf04dec8e4abba0e59fa8fedadbafa50f4a296baf0bd0ad2b4c2fa,Balance_10_upward,Balance_10,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",033,Balance,10,upward
035,379ca9e1bd6e32604c19dc972e4b2b9dc2c524dd20df6e0471b86851bf0fe580,initial_scene.png,0cf5c2e48398dc26ceed1521da3905d5a43b7bd3145f376fd3d709d14317eb27,BalanceUnder_2_downward,BalanceUnder_2,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",036,BalanceUnder,2,downward
036,379ca9e1bd6e32604c19dc972e4b2b9dc2c524dd20df6e0471b86851bf0fe580,initial_scene.png,0cf5c2e48398dc26ceed1521da3905d5a43b7bd3145f376fd3d709d14317eb27,BalanceUnder_2_upward,BalanceUnder_2,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",035,BalanceUnder,2,upward
037,9cf6f1ed20cffa86cf6e0ef5a49d2e891f7b4498763f13e0cff3d52ebf7453a2,initial_scene.png,c95604914eb23bbe7338a6701736fe56c913aa31cf3cb2ac5348c066dfb8adfc,BalanceUnder_3_downward,BalanceUnder_3,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",038,BalanceUnder,3,downward
038,9cf6f1ed20cffa86cf6e0ef5a49d2e891f7b4498763f13e0cff3d52ebf7453a2,initial_scene.png,c95604914eb23bbe7338a6701736fe56c913aa31cf3cb2ac5348c066dfb8adfc,BalanceUnder_3_upward,BalanceUnder_3,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",037,BalanceUnder,3,upward
039,ce306ba9031e6cb28b42a5919cb136c79df85fbe21dd0b2d7389d9d04776c639,initial_scene.png,c9fb12331bf924c1d392845c00c1efddcb8e29945dcda1178356e16f1daa91a9,BalanceUnder_5_downward,BalanceUnder_5,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",040,BalanceUnder,5,downward
040,ce306ba9031e6cb28b42a5919cb136c79df85fbe21dd0b2d7389d9d04776c639,initial_scene.png,c9fb12331bf924c1d392845c00c1efddcb8e29945dcda1178356e16f1daa91a9,BalanceUnder_5_upward,BalanceUnder_5,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",039,BalanceUnder,5,upward
041,ebe01b4a181f40c2568e3d82a91b443b0de29f6ed40a8317e8f6139efc3b74ad,initial_scene.png,4467ce51c987a927e9741403a9ebd08e86729708d7b11aa18cf4d84da1d75b4f,BalanceUnder_6_downward,BalanceUnder_6,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",042,BalanceUnder,6,downward
042,ebe01b4a181f40c2568e3d82a91b443b0de29f6ed40a8317e8f6139efc3b74ad,initial_scene.png,4467ce51c987a927e9741403a9ebd08e86729708d7b11aa18cf4d84da1d75b4f,BalanceUnder_6_upward,BalanceUnder_6,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",041,BalanceUnder,6,upward
043,8b5b7fb63b8cd48c88d46d3c6ef8e9f69169c32c14f193665c921423ac6d6578,initial_scene.png,465454234de61277c02ae136ebb03d1e2f00a9d1773b04b499bf856d2fad84b4,BalanceUnder_7_downward,BalanceUnder_7,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",044,BalanceUnder,7,downward
044,8b5b7fb63b8cd48c88d46d3c6ef8e9f69169c32c14f193665c921423ac6d6578,initial_scene.png,465454234de61277c02ae136ebb03d1e2f00a9d1773b04b499bf856d2fad84b4,BalanceUnder_7_upward,BalanceUnder_7,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",043,BalanceUnder,7,upward
045,d59ea720eefd8d400e9f5f1b6a7414be8dd58618f7fb207a5ac956c310dff657,initial_scene.png,6f2a997c7732344cb15f54da62fbb1a10ef4b85b24ce31e77ed6ae4f5a00efe4,BalanceUnder_8_downward,BalanceUnder_8,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",046,BalanceUnder,8,downward
046,d59ea720eefd8d400e9f5f1b6a7414be8dd58618f7fb207a5ac956c310dff657,initial_scene.png,6f2a997c7732344cb15f54da62fbb1a10ef4b85b24ce31e77ed6ae4f5a00efe4,BalanceUnder_8_upward,BalanceUnder_8,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",045,BalanceUnder,8,upward
047,07170673bff3a1c0dd435a02d336f0f96b8983f27bf9c61215ddacf9c2749a1d,initial_scene.png,48add8ddde638ea339cb17b596cd48787651afbaccee3307720aed47e74d0c1d,BalanceUnder_10_downward,BalanceUnder_10,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",048,BalanceUnder,10,downward
048,07170673bff3a1c0dd435a02d336f0f96b8983f27bf9c61215ddacf9c2749a1d,initial_scene.png,48add8ddde638ea339cb17b596cd48787651afbaccee3307720aed47e74d0c1d,BalanceUnder_10_upward,BalanceUnder_10,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",047,BalanceUnder,10,upward
049,6291439be4b245df893157313639fcf51a626242eaf972541d8bfee63896bd03,initial_scene.png,7058247573b86bb01e68f468aa627346d78fef9864d64cdbb2c8d8c2739cef5f,Basic_1_downward,Basic_1,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",050,Basic,1,downward
050,6291439be4b245df893157313639fcf51a626242eaf972541d8bfee63896bd03,initial_scene.png,7058247573b86bb01e68f468aa627346d78fef9864d64cdbb2c8d8c2739cef5f,Basic_1_upward,Basic_1,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",049,Basic,1,upward
051,a33f289ff0b471f47e5ed96eab8be0c08d262f513d1c25ae82618729b0b29b19,initial_scene.png,9d23668e9d3b1a6eb133c6e974af7aac1aa49901ed0217f03f63e5bfc5d7fefe,Basic_2_downward,Basic_2,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",052,Basic,2,downward
052,a33f289ff0b471f47e5ed96eab8be0c08d262f513d1c25ae82618729b0b29b19,initial_scene.png,9d23668e9d3b1a6eb133c6e974af7aac1aa49901ed0217f03f63e5bfc5d7fefe,Basic_2_upward,Basic_2,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",051,Basic,2,upward
053,6b9978ebd85948124c0c0a256f6529bf5329baf743fafd3c40f24e6082cba33e,initial_scene.png,5f6fa8b379bd1c38faffa05ed69f62042331669d38402b4a46ff64b94ab6bab2,Basic_6_downward,Basic_6,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",054,Basic,6,downward
054,6b9978ebd85948124c0c0a256f6529bf5329baf743fafd3c40f24e6082cba33e,initial_scene.png,5f6fa8b379bd1c38faffa05ed69f62042331669d38402b4a46ff64b94ab6bab2,Basic_6_upward,Basic_6,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",053,Basic,6,upward
055,59e30f4e47fd5350e83b6dbf973b9ad080e6c775c8e5fac1f3123c40ae50232e,initial_scene.png,c6008211b2a7867f77827bc50b5ac0815ea3facfa382e0dd71fc8a3ab4184157,Basic_7_downward,Basic_7,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",056,Basic,7,downward
056,59e30f4e47fd5350e83b6dbf973b9ad080e6c775c8e5fac1f3123c40ae50232e,initial_scene.png,c6008211b2a7867f77827bc50b5ac0815ea3facfa382e0dd71fc8a3ab4184157,Basic_7_upward,Basic_7,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",055,Basic,7,upward
057,693512274d46500d7443011ed7922bb3942a654844ea166c5a2590d83490e838,initial_scene.png,653519f30a3460d82731058a51129f8552d384c93554e187dd80a24b32d23461,Basic_8_downward,Basic_8,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",058,Basic,8,downward
058,693512274d46500d7443011ed7922bb3942a654844ea166c5a2590d83490e838,initial_scene.png,653519f30a3460d82731058a51129f8552d384c93554e187dd80a24b32d23461,Basic_8_upward,Basic_8,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",057,Basic,8,upward
059,0b7beb3d0c7e9f6481d4c6c270e01146e3e3daf286e1194d78781702dd58f51b,initial_scene.png,8cb7a1ec8da5e69723ee615bc51f200bd98ffc4527c2d5d60b301c09ba831f54,Basic_9_downward,Basic_9,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",060,Basic,9,downward
060,0b7beb3d0c7e9f6481d4c6c270e01146e3e3daf286e1194d78781702dd58f51b,initial_scene.png,8cb7a1ec8da5e69723ee615bc51f200bd98ffc4527c2d5d60b301c09ba831f54,Basic_9_upward,Basic_9,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",059,Basic,9,upward
061,e79dae7720f1fcadca1d9828a9938cd9f3d12d87b1e6bb24203bc9f9deeb8e2d,initial_scene.png,be729df18596444c22cce5388d16e37f40900c16f158503cbadd68729f5b10ce,Basic_10_downward,Basic_10,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",062,Basic,10,downward
062,e79dae7720f1fcadca1d9828a9938cd9f3d12d87b1e6bb24203bc9f9deeb8e2d,initial_scene.png,be729df18596444c22cce5388d16e37f40900c16f158503cbadd68729f5b10ce,Basic_10_upward,Basic_10,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",061,Basic,10,upward
063,df103f4b88307e2334e5f90474d83067af6c619fe4184f977484251af902e0b4,initial_scene.png,8111bb0d6107e4404e0209fad22f05b1d9c7c6a9d3deba03a94a52a38b0683c5,Falling_1_downward,Falling_1,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",064,Falling,1,downward
064,df103f4b88307e2334e5f90474d83067af6c619fe4184f977484251af902e0b4,initial_scene.png,8111bb0d6107e4404e0209fad22f05b1d9c7c6a9d3deba03a94a52a38b0683c5,Falling_1_upward,Falling_1,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",063,Falling,1,upward
065,6bc24aed27d916914a6f5cc621519711d735b2f946f1324dbbc68ecd42139c23,initial_scene.png,d313e108a487fad50659e3a409c92e471dad1de6e243c299ab2ba54d93c81458,Falling_2_downward,Falling_2,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",066,Falling,2,downward
066,6bc24aed27d916914a6f5cc621519711d735b2f946f1324dbbc68ecd42139c23,initial_scene.png,d313e108a487fad50659e3a409c92e471dad1de6e243c299ab2ba54d93c81458,Falling_2_upward,Falling_2,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",065,Falling,2,upward
067,e87c062cefa6995c77e6005295446264ccf7b94a927ffb8f31f463f07f0ee1f7,initial_scene.png,76807ea853b9f89fbe55dd77fe6662b83864a6ccafda95b7cbd2739d3023927e,Falling_3_downward,Falling_3,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",068,Falling,3,downward
068,e87c062cefa6995c77e6005295446264ccf7b94a927ffb8f31f463f07f0ee1f7,initial_scene.png,76807ea853b9f89fbe55dd77fe6662b83864a6ccafda95b7cbd2739d3023927e,Falling_3_upward,Falling_3,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",067,Falling,3,upward
069,667482df62e0032d3e7128677854039390ff00b5545e4f76cb628a4f8bd50fbc,initial_scene.png,76807ea853b9f89fbe55dd77fe6662b83864a6ccafda95b7cbd2739d3023927e,Falling_5_downward,Falling_5,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",070,Falling,5,downward
070,667482df62e0032d3e7128677854039390ff00b5545e4f76cb628a4f8bd50fbc,initial_scene.png,76807ea853b9f89fbe55dd77fe6662b83864a6ccafda95b7cbd2739d3023927e,Falling_5_upward,Falling_5,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",069,Falling,5,upward
071,0adb96f5e60c59387d31ace6dfe045697015a5c6b964fae480e6568c2f2d090e,initial_scene.png,5fa0a13532cbd010b3d09ce9c936409f48671fb3ba961b50fb199dfe44359887,Falling_6_downward,Falling_6,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",072,Falling,6,downward
072,0adb96f5e60c59387d31ace6dfe045697015a5c6b964fae480e6568c2f2d090e,initial_scene.png,5fa0a13532cbd010b3d09ce9c936409f48671fb3ba961b50fb199dfe44359887,Falling_6_upward,Falling_6,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",071,Falling,6,upward
073,2fac02c658813c8ad3184c788e160fbce6c3d47a27319a820925192818cf1461,initial_scene.png,f0eb768426b7ba807fd44fa3cb18701a2beb88236eccdd3fe0788df885c07c32,Falling_7_downward,Falling_7,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",074,Falling,7,downward
074,2fac02c658813c8ad3184c788e160fbce6c3d47a27319a820925192818cf1461,initial_scene.png,f0eb768426b7ba807fd44fa3cb18701a2beb88236eccdd3fe0788df885c07c32,Falling_7_upward,Falling_7,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",073,Falling,7,upward
075,c396ee90460bcd3bcca330a8bd882815f7061780a2b3f38d0ac8a144d81ce078,initial_scene.png,c1e26e4704cc5c6cef65f81ebf90f222013966960d5c27450c30afe7344ead0e,Falling_8_downward,Falling_8,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",076,Falling,8,downward
076,c396ee90460bcd3bcca330a8bd882815f7061780a2b3f38d0ac8a144d81ce078,initial_scene.png,c1e26e4704cc5c6cef65f81ebf90f222013966960d5c27450c30afe7344ead0e,Falling_8_upward,Falling_8,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",075,Falling,8,upward
077,5c02538ae962b6fc4ecc4fbb4016299a1e4cf26e1c5c32a7bc9a53d9d9282d07,initial_scene.png,350c8fd455bd8eaf083c74a3f477da4d85c87b624a4bce8f6ab974fd8a062a05,Falling_9_downward,Falling_9,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",078,Falling,9,downward
078,5c02538ae962b6fc4ecc4fbb4016299a1e4cf26e1c5c32a7bc9a53d9d9282d07,initial_scene.png,350c8fd455bd8eaf083c74a3f477da4d85c87b624a4bce8f6ab974fd8a062a05,Falling_9_upward,Falling_9,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",077,Falling,9,upward
079,fe86f352cf4f3afc433c124ac69bedbd4ef5ba2fe5027479c03d3d9429ed6344,initial_scene.png,2742b032bfbf2df34a7c79b54c8d3d8ecafb853e25b25e8e2583e9174527a076,Falling_10_downward,Falling_10,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",080,Falling,10,downward
080,fe86f352cf4f3afc433c124ac69bedbd4ef5ba2fe5027479c03d3d9429ed6344,initial_scene.png,2742b032bfbf2df34a7c79b54c8d3d8ecafb853e25b25e8e2583e9174527a076,Falling_10_upward,Falling_10,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",079,Falling,10,upward
081,ef8e97be7a93f58d2a4148817cdb120983a2003191f9853b6b906eeaf73cb9c7,initial_scene.png,f2b3815be04303dc0c6d010f5874c172e8fb0641cf507b92c37390a07d73f0ea,FallingAlt_1_downward,FallingAlt_1,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",082,FallingAlt,1,downward
082,ef8e97be7a93f58d2a4148817cdb120983a2003191f9853b6b906eeaf73cb9c7,initial_scene.png,f2b3815be04303dc0c6d010f5874c172e8fb0641cf507b92c37390a07d73f0ea,FallingAlt_1_upward,FallingAlt_1,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",081,FallingAlt,1,upward
083,c698c8e6ef154b12a56ee9f429f844a1213ea8382366e6c3f92c2f13841dcc5d,initial_scene.png,a201305b7772ad3fca84381b0a743fe819c823e79bc7eb0b807219ac8977d4c5,FallingAlt_2_downward,FallingAlt_2,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",084,FallingAlt,2,downward
084,c698c8e6ef154b12a56ee9f429f844a1213ea8382366e6c3f92c2f13841dcc5d,initial_scene.png,a201305b7772ad3fca84381b0a743fe819c823e79bc7eb0b807219ac8977d4c5,FallingAlt_2_upward,FallingAlt_2,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",083,FallingAlt,2,upward
085,e04a4742e75f414ff12ac47c37c90b10d994751875f30df07adb946583610bcb,initial_scene.png,bb6867b0258752af1802ca9bdcead4b44c9f653ec5f9347258caf86cb088a682,FallingAlt_3_downward,FallingAlt_3,"Canonical rows 1561-1692 of full_augmented_manifest_1692.json, in stored order.",086,FallingAlt,3,downward
