call_id,layout_id,model_key,model_id,target_id,target_label,valid_prediction,true_x,true_y,pred_x,pred_y,absolute_x_error_px,absolute_y_error_px,euclidean_error_px,y_flipped_euclidean_error_px,within_60px,within_100px,within_150px,x_half_scored,x_half_correct,y_half_scored,y_half_correct,combined_halves_scored,combined_halves_correct
BackUp_7:gemini:image_coordinates_v2,BackUp_7,gemini,google/gemini-3.1-pro-preview,green_container_center,green goal container,1,79.48666666666668,26.0,78.0,25.0,1.4866666666666788,1.0,1.7916968989697486,549.0020129086757,1,1,1,1,1,1,1,1,1
BackUp_7:gemini:image_coordinates_v2,BackUp_7,gemini,google/gemini-3.1-pro-preview,red_ball_center,red target ball,1,268.0,414.0,268.0,415.0,0.0,1.0,1.0,229.0,1,1,1,0,0,1,1,0,0
BackUp_9:gemini:image_coordinates_v2,BackUp_9,gemini,google/gemini-3.1-pro-preview,green_container_center,green goal container,1,460.00000000000034,28.0,465.0,27.0,4.999999999999659,1.0,5.0990195135924505,545.0229352972221,1,1,1,1,1,1,1,1,1
BackUp_9:gemini:image_coordinates_v2,BackUp_9,gemini,google/gemini-3.1-pro-preview,red_ball_center,red target ball,1,18.0,505.0,18.0,510.0,0.0,5.0,5.0,415.0,1,1,1,1,1,1,1,1,1
BackUp_8:gemini:image_coordinates_v2,BackUp_8,gemini,google/gemini-3.1-pro-preview,green_container_center,green goal container,1,305.0,28.0,308.0,28.0,3.0,0.0,3.0,544.0082719959321,1,1,1,0,0,1,1,0,0
BackUp_8:gemini:image_coordinates_v2,BackUp_8,gemini,google/gemini-3.1-pro-preview,red_ball_center,red target ball,1,300.0,446.0,300.0,450.0,0.0,4.0,4.0,296.0,1,1,1,0,0,1,1,0,0
BalanceUnder_2:gemini:image_coordinates_v2,BalanceUnder_2,gemini,google/gemini-3.1-pro-preview,green_container_center,green goal container,1,547.5,40.0,550.0,40.0,2.5,0.0,2.5,520.0060095806585,1,1,1,1,1,1,1,1,1
BalanceUnder_2:gemini:image_coordinates_v2,BalanceUnder_2,gemini,google/gemini-3.1-pro-preview,red_ball_center,red target ball,1,60.0,140.0,60.0,140.0,0.0,0.0,0.0,320.0,1,1,1,1,1,1,1,1,1
BalanceUnder_10:gemini:image_coordinates_v2,BalanceUnder_10,gemini,google/gemini-3.1-pro-preview,green_container_center,green goal container,1,547.5,40.0,547.0,42.0,0.5,2.0,2.0615528128088303,518.0002413126851,1,1,1,1,1,1,1,1,1
BalanceUnder_10:gemini:image_coordinates_v2,BalanceUnder_10,gemini,google/gemini-3.1-pro-preview,red_ball_center,red target ball,1,308.0,240.0,308.0,240.0,0.0,0.0,0.0,120.0,1,1,1,0,0,0,0,0,0
BalanceUnder_3:gemini:image_coordinates_v2,BalanceUnder_3,gemini,google/gemini-3.1-pro-preview,green_container_center,green goal container,1,547.5,40.0,548.0,37.0,0.5,3.0,3.0413812651491097,523.0002390056816,1,1,1,1,1,1,1,1,1
BalanceUnder_3:gemini:image_coordinates_v2,BalanceUnder_3,gemini,google/gemini-3.1-pro-preview,red_ball_center,red target ball,1,66.0,143.0,66.0,133.0,0.0,10.0,10.0,324.0,1,1,1,1,1,1,1,1,1
BackUp_10:gemini:image_coordinates_v2,BackUp_10,gemini,google/gemini-3.1-pro-preview,green_container_center,green goal container,1,386.0,30.0,385.0,27.0,1.0,3.0,3.1622776601683795,543.0009208095323,1,1,1,1,1,1,1,1,1
BackUp_10:gemini:image_coordinates_v2,BackUp_10,gemini,google/gemini-3.1-pro-preview,red_ball_center,red target ball,1,36.0,523.0,36.0,525.0,0.0,2.0,2.0,448.0,1,1,1,1,1,1,1,1,1
BalanceUnder_5:gemini:image_coordinates_v2,BalanceUnder_5,gemini,google/gemini-3.1-pro-preview,green_container_center,green goal container,1,547.5,40.0,548.0,42.0,0.5,2.0,2.0615528128088303,518.0002413126851,1,1,1,1,1,1,1,1,1
BalanceUnder_5:gemini:image_coordinates_v2,BalanceUnder_5,gemini,google/gemini-3.1-pro-preview,red_ball_center,red target ball,1,198.0,245.0,198.0,245.0,0.0,0.0,0.0,110.0,1,1,1,1,1,0,0,0,0
BalanceUnder_7:gemini:image_coordinates_v2,BalanceUnder_7,gemini,google/gemini-3.1-pro-preview,green_container_center,green goal container,1,547.5,40.0,550.0,50.0,2.5,10.0,10.307764064044152,510.0061274141714,1,1,1,1,1,1,1,1,1
BalanceUnder_7:gemini:image_coordinates_v2,BalanceUnder_7,gemini,google/gemini-3.1-pro-preview,red_ball_center,red target ball,1,175.0,241.0,175.0,235.0,0.0,6.0,6.0,124.0,1,1,1,1,1,0,0,0,0
Balance_1:gemini:image_coordinates_v2,Balance_1,gemini,google/gemini-3.1-pro-preview,green_container_center,green goal container,1,89.0,37.0,89.0,36.0,0.0,1.0,1.0,527.0,1,1,1,1,1,1,1,1,1
Balance_1:gemini:image_coordinates_v2,Balance_1,gemini,google/gemini-3.1-pro-preview,red_ball_center,red target ball,1,384.0,246.0,385.0,245.0,1.0,1.0,1.4142135623730951,109.00458705944443,1,1,1,1,1,0,0,0,0
BalanceUnder_8:gemini:image_coordinates_v2,BalanceUnder_8,gemini,google/gemini-3.1-pro-preview,green_container_center,green goal container,1,547.5,40.0,548.0,42.0,0.5,2.0,2.0615528128088303,518.0002413126851,1,1,1,1,1,1,1,1,1
BalanceUnder_8:gemini:image_coordinates_v2,BalanceUnder_8,gemini,google/gemini-3.1-pro-preview,red_ball_center,red target ball,1,308.0,240.0,308.0,240.0,0.0,0.0,0.0,120.0,1,1,1,0,0,0,0,0,0
BalanceUnder_6:gemini:image_coordinates_v2,BalanceUnder_6,gemini,google/gemini-3.1-pro-preview,green_container_center,green goal container,1,547.5,40.0,548.0,38.0,0.5,2.0,2.0615528128088303,522.0002394635466,1,1,1,1,1,1,1,1,1
BalanceUnder_6:gemini:image_coordinates_v2,BalanceUnder_6,gemini,google/gemini-3.1-pro-preview,red_ball_center,red target ball,1,246.0,243.0,246.0,242.0,0.0,1.0,1.0,115.0,1,1,1,0,0,0,0,0,0
Balance_3:gemini:image_coordinates_v2,Balance_3,gemini,google/gemini-3.1-pro-preview,green_container_center,green goal container,1,552.0,300.0,550.0,300.0,2.0,0.0,2.0,2.0,1,1,1,1,1,0,0,0,0
Balance_3:gemini:image_coordinates_v2,Balance_3,gemini,google/gemini-3.1-pro-preview,red_ball_center,red target ball,1,226.0,401.0,225.0,405.0,1.0,4.0,4.123105625617661,206.0024271701671,1,1,1,1,1,1,1,1,1
Balance_10:gemini:image_coordinates_v2,Balance_10,gemini,google/gemini-3.1-pro-preview,green_container_center,green goal container,1,170.0,42.0,170.0,38.0,0.0,4.0,4.0,520.0,1,1,1,1,1,1,1,1,1
Balance_10:gemini:image_coordinates_v2,Balance_10,gemini,google/gemini-3.1-pro-preview,red_ball_center,red target ball,1,251.0,148.0,250.0,150.0,1.0,2.0,2.23606797749979,302.00165562460086,1,1,1,0,0,1,1,0,0
Balance_2:gemini:image_coordinates_v2,Balance_2,gemini,google/gemini-3.1-pro-preview,green_container_center,green goal container,1,153.0,42.0,152.0,40.0,1.0,2.0,2.23606797749979,518.000965250066,1,1,1,1,1,1,1,1,1
Balance_2:gemini:image_coordinates_v2,Balance_2,gemini,google/gemini-3.1-pro-preview,red_ball_center,red target ball,1,193.0,251.0,192.0,252.0,1.0,1.0,1.4142135623730951,97.0051545022222,1,1,1,1,1,0,0,0,0
Balance_5:gemini:image_coordinates_v2,Balance_5,gemini,google/gemini-3.1-pro-preview,green_container_center,green goal container,1,93.13768275121427,38.311366576358864,92.0,38.0,1.137682751214271,0.3113665763588642,1.1795215925467042,523.6898691966106,1,1,1,1,1,1,1,1,1
Balance_5:gemini:image_coordinates_v2,Balance_5,gemini,google/gemini-3.1-pro-preview,red_ball_center,red target ball,1,213.0,306.0,213.0,306.0,0.0,0.0,0.0,12.0,1,1,1,1,1,0,0,0,0
Balance_4:gemini:image_coordinates_v2,Balance_4,gemini,google/gemini-3.1-pro-preview,green_container_center,green goal container,1,381.0,40.0,380.0,38.0,1.0,2.0,2.23606797749979,522.0009578535273,1,1,1,1,1,1,1,1,1
Balance_4:gemini:image_coordinates_v2,Balance_4,gemini,google/gemini-3.1-pro-preview,red_ball_center,red target ball,1,351.0,479.0,350.0,480.0,1.0,1.0,1.4142135623730951,359.00139275495854,1,1,1,0,0,1,1,0,0
Balance_8:gemini:image_coordinates_v2,Balance_8,gemini,google/gemini-3.1-pro-preview,green_container_center,green goal container,1,548.0,271.0,550.0,275.0,2.0,4.0,4.47213595499958,54.037024344425184,1,1,1,1,1,0,0,0,0
Balance_8:gemini:image_coordinates_v2,Balance_8,gemini,google/gemini-3.1-pro-preview,red_ball_center,red target ball,1,226.0,401.0,225.0,400.0,1.0,1.0,1.4142135623730951,201.0024875467963,1,1,1,1,1,1,1,1,1
Balance_7:gemini:image_coordinates_v2,Balance_7,gemini,google/gemini-3.1-pro-preview,green_container_center,green goal container,1,390.0,40.0,390.0,60.0,0.0,20.0,20.0,500.0,1,1,1,1,1,1,1,1,1
Balance_7:gemini:image_coordinates_v2,Balance_7,gemini,google/gemini-3.1-pro-preview,red_ball_center,red target ball,1,226.0,401.0,225.0,405.0,1.0,4.0,4.123105625617661,206.0024271701671,1,1,1,1,1,1,1,1,1
Basic_10:gemini:image_coordinates_v2,Basic_10,gemini,google/gemini-3.1-pro-preview,green_container_center,green goal container,1,558.2484076433121,151.35031847133757,558.0,152.0,0.2484076433121345,0.6496815286624269,0.6955519002497488,296.64978553407735,1,1,1,1,1,1,1,1,1
Basic_10:gemini:image_coordinates_v2,Basic_10,gemini,google/gemini-3.1-pro-preview,red_ball_center,red target ball,1,563.0,543.0,563.0,543.0,0.0,0.0,0.0,486.0,1,1,1,1,1,1,1,1,1
Basic_2:gemini:image_coordinates_v2,Basic_2,gemini,google/gemini-3.1-pro-preview,green_container_center,green goal container,1,442.0,312.0,440.0,285.0,2.0,27.0,27.073972741361768,3.605551275463989,1,1,1,1,1,0,0,0,0
Basic_2:gemini:image_coordinates_v2,Basic_2,gemini,google/gemini-3.1-pro-preview,red_ball_center,red target ball,1,40.0,470.0,40.0,470.0,0.0,0.0,0.0,340.0,1,1,1,1,1,1,1,1,1
Basic_1:gemini:image_coordinates_v2,Basic_1,gemini,google/gemini-3.1-pro-preview,green_container_center,green goal container,1,384.0,39.0,385.0,35.0,1.0,4.0,4.123105625617661,526.0009505694833,1,1,1,1,1,1,1,1,1
Basic_1:gemini:image_coordinates_v2,Basic_1,gemini,google/gemini-3.1-pro-preview,red_ball_center,red target ball,1,40.0,470.0,40.0,470.0,0.0,0.0,0.0,340.0,1,1,1,1,1,1,1,1,1
Basic_7:gemini:image_coordinates_v2,Basic_7,gemini,google/gemini-3.1-pro-preview,green_container_center,green goal container,1,502.5,260.0,500.0,260.0,2.5,0.0,2.5,80.0390529679106,1,1,1,1,1,0,0,0,0
Basic_7:gemini:image_coordinates_v2,Basic_7,gemini,google/gemini-3.1-pro-preview,red_ball_center,red target ball,1,50.0,160.0,50.0,160.0,0.0,0.0,0.0,280.0,1,1,1,1,1,1,1,1,1
Basic_6:gemini:image_coordinates_v2,Basic_6,gemini,google/gemini-3.1-pro-preview,green_container_center,green goal container,1,323.0,36.0,320.0,35.0,3.0,1.0,3.1622776601683795,529.0085065478626,1,1,1,0,0,1,1,0,0
Basic_6:gemini:image_coordinates_v2,Basic_6,gemini,google/gemini-3.1-pro-preview,red_ball_center,red target ball,1,50.0,577.0,50.0,565.0,0.0,12.0,12.0,542.0,1,1,1,1,1,1,1,1,1
FallingAlt_4:gemini:image_coordinates_v2,FallingAlt_4,gemini,google/gemini-3.1-pro-preview,green_container_center,green goal container,1,100.0,52.5,100.0,50.0,0.0,2.5,2.5,497.5,1,1,1,1,1,1,1,1,1
FallingAlt_4:gemini:image_coordinates_v2,FallingAlt_4,gemini,google/gemini-3.1-pro-preview,red_ball_center,red target ball,1,243.0,224.0,243.0,225.0,0.0,1.0,1.0,151.0,1,1,1,0,0,1,1,0,0
FallingAlt_10:gemini:image_coordinates_v2,FallingAlt_10,gemini,google/gemini-3.1-pro-preview,green_container_center,green goal container,1,100.0,52.5,98.0,50.0,2.0,2.5,3.2015621187164243,497.5040200842602,1,1,1,1,1,1,1,1,1
FallingAlt_10:gemini:image_coordinates_v2,FallingAlt_10,gemini,google/gemini-3.1-pro-preview,red_ball_center,red target ball,1,172.0,404.0,172.0,405.0,0.0,1.0,1.0,209.0,1,1,1,1,1,1,1,1,1
Basic_8:gemini:image_coordinates_v2,Basic_8,gemini,google/gemini-3.1-pro-preview,green_container_center,green goal container,1,133.0,293.0,132.0,293.0,1.0,0.0,1.0,14.035668847618199,1,1,1,1,1,0,0,0,0
Basic_8:gemini:image_coordinates_v2,Basic_8,gemini,google/gemini-3.1-pro-preview,red_ball_center,red target ball,1,50.0,577.0,50.0,565.0,0.0,12.0,12.0,542.0,1,1,1,1,1,1,1,1,1
FallingAlt_2:gemini:image_coordinates_v2,FallingAlt_2,gemini,google/gemini-3.1-pro-preview,green_container_center,green goal container,1,100.0,52.5,98.0,50.0,2.0,2.5,3.2015621187164243,497.5040200842602,1,1,1,1,1,1,1,1,1
FallingAlt_2:gemini:image_coordinates_v2,FallingAlt_2,gemini,google/gemini-3.1-pro-preview,red_ball_center,red target ball,1,206.0,385.0,206.0,386.0,0.0,1.0,1.0,171.0,1,1,1,1,1,1,1,1,1
FallingAlt_1:gemini:image_coordinates_v2,FallingAlt_1,gemini,google/gemini-3.1-pro-preview,green_container_center,green goal container,1,100.0,52.5,98.0,45.0,2.0,7.5,7.762087348130012,502.50398008374026,1,1,1,1,1,1,1,1,1
FallingAlt_1:gemini:image_coordinates_v2,FallingAlt_1,gemini,google/gemini-3.1-pro-preview,red_ball_center,red target ball,1,300.0,350.0,300.0,350.0,0.0,0.0,0.0,100.0,1,1,1,0,0,0,0,0,0
FallingAlt_5:gemini:image_coordinates_v2,FallingAlt_5,gemini,google/gemini-3.1-pro-preview,green_container_center,green goal container,1,100.0,52.5,100.0,50.0,0.0,2.5,2.5,497.5,1,1,1,1,1,1,1,1,1
FallingAlt_5:gemini:image_coordinates_v2,FallingAlt_5,gemini,google/gemini-3.1-pro-preview,red_ball_center,red target ball,1,202.0,540.0,200.0,540.0,2.0,0.0,2.0,480.0041666485823,1,1,1,1,1,1,1,1,1
FallingAlt_9:gemini:image_coordinates_v2,FallingAlt_9,gemini,google/gemini-3.1-pro-preview,green_container_center,green goal container,1,100.0,52.5,98.0,50.0,2.0,2.5,3.2015621187164243,497.5040200842602,1,1,1,1,1,1,1,1,1
FallingAlt_9:gemini:image_coordinates_v2,FallingAlt_9,gemini,google/gemini-3.1-pro-preview,red_ball_center,red target ball,1,239.0,401.0,238.0,402.0,1.0,1.0,1.4142135623730951,203.00246303924493,1,1,1,1,1,1,1,1,1
FallingAlt_3:gemini:image_coordinates_v2,FallingAlt_3,gemini,google/gemini-3.1-pro-preview,green_container_center,green goal container,1,100.0,52.5,100.0,50.0,0.0,2.5,2.5,497.5,1,1,1,1,1,1,1,1,1
FallingAlt_3:gemini:image_coordinates_v2,FallingAlt_3,gemini,google/gemini-3.1-pro-preview,red_ball_center,red target ball,1,233.0,354.0,233.0,355.0,0.0,1.0,1.0,109.0,1,1,1,1,1,0,0,0,0
FallingAlt_7:gemini:image_coordinates_v2,FallingAlt_7,gemini,google/gemini-3.1-pro-preview,green_container_center,green goal container,1,100.0,52.5,100.0,50.0,0.0,2.5,2.5,497.5,1,1,1,1,1,1,1,1,1
FallingAlt_7:gemini:image_coordinates_v2,FallingAlt_7,gemini,google/gemini-3.1-pro-preview,red_ball_center,red target ball,1,275.0,463.0,275.0,465.0,0.0,2.0,2.0,328.0,1,1,1,0,0,1,1,0,0
FallingAlt_6:gemini:image_coordinates_v2,FallingAlt_6,gemini,google/gemini-3.1-pro-preview,green_container_center,green goal container,1,100.0,52.5,100.0,50.0,0.0,2.5,2.5,497.5,1,1,1,1,1,1,1,1,1
FallingAlt_6:gemini:image_coordinates_v2,FallingAlt_6,gemini,google/gemini-3.1-pro-preview,red_ball_center,red target ball,1,250.0,478.0,250.0,480.0,0.0,2.0,2.0,358.0,1,1,1,0,0,1,1,0,0
Falling_10:gemini:image_coordinates_v2,Falling_10,gemini,google/gemini-3.1-pro-preview,green_container_center,green goal container,1,461.0,23.0,461.0,21.0,0.0,2.0,2.0,556.0,1,1,1,1,1,1,1,1,1
Falling_10:gemini:image_coordinates_v2,Falling_10,gemini,google/gemini-3.1-pro-preview,red_ball_center,red target ball,1,317.0,553.0,316.0,555.0,1.0,2.0,2.23606797749979,508.000984251015,1,1,1,0,0,1,1,0,0
Falling_1:gemini:image_coordinates_v2,Falling_1,gemini,google/gemini-3.1-pro-preview,green_container_center,green goal container,1,300.0,20.0,300.0,20.0,0.0,0.0,0.0,560.0,1,1,1,0,0,1,1,0,0
Falling_1:gemini:image_coordinates_v2,Falling_1,gemini,google/gemini-3.1-pro-preview,red_ball_center,red target ball,1,300.0,230.0,300.0,230.0,0.0,0.0,0.0,140.0,1,1,1,0,0,1,1,0,0
FallingAlt_8:gemini:image_coordinates_v2,FallingAlt_8,gemini,google/gemini-3.1-pro-preview,green_container_center,green goal container,1,100.0,52.5,100.0,50.0,0.0,2.5,2.5,497.5,1,1,1,1,1,1,1,1,1
FallingAlt_8:gemini:image_coordinates_v2,FallingAlt_8,gemini,google/gemini-3.1-pro-preview,red_ball_center,red target ball,1,273.0,345.0,273.0,345.0,0.0,0.0,0.0,90.0,1,1,1,0,0,0,0,0,0
Falling_5:gemini:image_coordinates_v2,Falling_5,gemini,google/gemini-3.1-pro-preview,green_container_center,green goal container,1,144.0,24.0,140.0,21.0,4.0,3.0,5.0,555.0144142272343,1,1,1,1,1,1,1,1,1
Falling_5:gemini:image_coordinates_v2,Falling_5,gemini,google/gemini-3.1-pro-preview,red_ball_center,red target ball,1,342.0,355.0,342.0,355.0,0.0,0.0,0.0,110.0,1,1,1,0,0,0,0,0,0
Falling_3:gemini:image_coordinates_v2,Falling_3,gemini,google/gemini-3.1-pro-preview,green_container_center,green goal container,1,455.0,263.0,455.0,260.0,0.0,3.0,3.0,77.0,1,1,1,1,1,0,0,0,0
Falling_3:gemini:image_coordinates_v2,Falling_3,gemini,google/gemini-3.1-pro-preview,red_ball_center,red target ball,1,316.0,453.0,315.0,455.0,1.0,2.0,2.23606797749979,308.00162337234525,1,1,1,0,0,1,1,0,0
Falling_2:gemini:image_coordinates_v2,Falling_2,gemini,google/gemini-3.1-pro-preview,green_container_center,green goal container,1,460.0,20.5,460.0,20.0,0.0,0.5,0.5,559.5,1,1,1,1,1,1,1,1,1
Falling_2:gemini:image_coordinates_v2,Falling_2,gemini,google/gemini-3.1-pro-preview,red_ball_center,red target ball,1,300.0,230.0,300.0,230.0,0.0,0.0,0.0,140.0,1,1,1,0,0,1,1,0,0
Falling_6:gemini:image_coordinates_v2,Falling_6,gemini,google/gemini-3.1-pro-preview,green_container_center,green goal container,1,144.0,24.0,140.0,20.0,4.0,4.0,5.656854249492381,556.0143883030366,1,1,1,1,1,1,1,1,1
Falling_6:gemini:image_coordinates_v2,Falling_6,gemini,google/gemini-3.1-pro-preview,red_ball_center,red target ball,1,338.0,200.0,338.0,198.0,0.0,2.0,2.0,202.0,1,1,1,0,0,1,1,0,0
Prevention_1:gemini:image_coordinates_v2,Prevention_1,gemini,google/gemini-3.1-pro-preview,green_container_center,green goal container,1,480.0,42.5,480.0,40.0,0.0,2.5,2.5,517.5,1,1,1,1,1,1,1,1,1
Prevention_1:gemini:image_coordinates_v2,Prevention_1,gemini,google/gemini-3.1-pro-preview,red_ball_center,red target ball,1,25.0,500.0,25.0,500.0,0.0,0.0,0.0,400.0,1,1,1,1,1,1,1,1,1
Falling_9:gemini:image_coordinates_v2,Falling_9,gemini,google/gemini-3.1-pro-preview,green_container_center,green goal container,1,458.0,23.0,457.0,22.0,1.0,1.0,1.4142135623730951,555.0009009001697,1,1,1,1,1,1,1,1,1
Falling_9:gemini:image_coordinates_v2,Falling_9,gemini,google/gemini-3.1-pro-preview,red_ball_center,red target ball,1,201.0,225.0,200.0,225.0,1.0,0.0,1.0,150.00333329629711,1,1,1,1,1,1,1,1,1
Prevention_2:gemini:image_coordinates_v2,Prevention_2,gemini,google/gemini-3.1-pro-preview,green_container_center,green goal container,1,480.0,42.5,480.0,40.0,0.0,2.5,2.5,517.5,1,1,1,1,1,1,1,1,1
Prevention_2:gemini:image_coordinates_v2,Prevention_2,gemini,google/gemini-3.1-pro-preview,red_ball_center,red target ball,1,35.0,535.0,35.0,535.0,0.0,0.0,0.0,470.0,1,1,1,1,1,1,1,1,1
Falling_8:gemini:image_coordinates_v2,Falling_8,gemini,google/gemini-3.1-pro-preview,green_container_center,green goal container,1,458.0,23.0,461.0,21.0,3.0,2.0,3.605551275463989,556.0080934662732,1,1,1,1,1,1,1,1,1
Falling_8:gemini:image_coordinates_v2,Falling_8,gemini,google/gemini-3.1-pro-preview,red_ball_center,red target ball,1,113.0,202.0,112.0,200.0,1.0,2.0,2.23606797749979,198.00252523642217,1,1,1,1,1,1,1,1,1
Prevention_3:gemini:image_coordinates_v2,Prevention_3,gemini,google/gemini-3.1-pro-preview,green_container_center,green goal container,1,480.0,42.5,480.0,45.0,0.0,2.5,2.5,512.5,1,1,1,1,1,1,1,1,1
Prevention_3:gemini:image_coordinates_v2,Prevention_3,gemini,google/gemini-3.1-pro-preview,red_ball_center,red target ball,1,475.0,529.0,475.0,530.0,0.0,1.0,1.0,459.0,1,1,1,1,1,1,1,1,1
Basic_9:gemini:image_coordinates_v2,Basic_9,gemini,google/gemini-3.1-pro-preview,green_container_center,green goal container,1,270.0,299.0,270.0,300.0,0.0,1.0,1.0,1.0,1,1,1,0,0,0,0,0,0
Basic_9:gemini:image_coordinates_v2,Basic_9,gemini,google/gemini-3.1-pro-preview,red_ball_center,red target ball,1,350.0,580.0,350.0,570.0,0.0,10.0,10.0,550.0,1,1,1,0,0,1,1,0,0
Prevention_10:gemini:image_coordinates_v2,Prevention_10,gemini,google/gemini-3.1-pro-preview,green_container_center,green goal container,1,480.0,42.5,480.0,35.0,0.0,7.5,7.5,522.5,1,1,1,1,1,1,1,1,1
Prevention_10:gemini:image_coordinates_v2,Prevention_10,gemini,google/gemini-3.1-pro-preview,red_ball_center,red target ball,1,297.0,315.0,297.0,315.0,0.0,0.0,0.0,30.0,1,1,1,0,0,0,0,0,0
Prevention_5:gemini:image_coordinates_v2,Prevention_5,gemini,google/gemini-3.1-pro-preview,green_container_center,green goal container,1,480.0,42.5,480.0,40.0,0.0,2.5,2.5,517.5,1,1,1,1,1,1,1,1,1
Prevention_5:gemini:image_coordinates_v2,Prevention_5,gemini,google/gemini-3.1-pro-preview,red_ball_center,red target ball,1,506.0,468.0,505.0,465.0,1.0,3.0,3.1622776601683795,333.0015014981164,1,1,1,1,1,1,1,1,1
Prevention_7:gemini:image_coordinates_v2,Prevention_7,gemini,google/gemini-3.1-pro-preview,green_container_center,green goal container,1,480.0,42.5,480.0,45.0,0.0,2.5,2.5,512.5,1,1,1,1,1,1,1,1,1
Prevention_7:gemini:image_coordinates_v2,Prevention_7,gemini,google/gemini-3.1-pro-preview,red_ball_center,red target ball,1,268.0,376.0,268.0,376.0,0.0,0.0,0.0,152.0,1,1,1,0,0,1,1,0,0
Falling_7:gemini:image_coordinates_v2,Falling_7,gemini,google/gemini-3.1-pro-preview,green_container_center,green goal container,1,458.0,23.0,460.0,24.0,2.0,1.0,2.23606797749979,553.0036166247016,1,1,1,1,1,1,1,1,1
Falling_7:gemini:image_coordinates_v2,Falling_7,gemini,google/gemini-3.1-pro-preview,red_ball_center,red target ball,1,235.0,189.0,235.0,190.0,0.0,1.0,1.0,221.0,1,1,1,1,1,1,1,1,1
Prevention_8:gemini:image_coordinates_v2,Prevention_8,gemini,google/gemini-3.1-pro-preview,green_container_center,green goal container,1,480.0,42.5,480.0,40.0,0.0,2.5,2.5,517.5,1,1,1,1,1,1,1,1,1
Prevention_8:gemini:image_coordinates_v2,Prevention_8,gemini,google/gemini-3.1-pro-preview,red_ball_center,red target ball,1,514.0,582.0,515.0,585.0,1.0,3.0,3.1622776601683795,567.0008818335294,1,1,1,1,1,1,1,1,1
Prevention_4:gemini:image_coordinates_v2,Prevention_4,gemini,google/gemini-3.1-pro-preview,green_container_center,green goal container,1,480.0,42.5,480.0,45.0,0.0,2.5,2.5,512.5,1,1,1,1,1,1,1,1,1
Prevention_4:gemini:image_coordinates_v2,Prevention_4,gemini,google/gemini-3.1-pro-preview,red_ball_center,red target ball,1,25.0,481.0,25.0,480.0,0.0,1.0,1.0,361.0,1,1,1,1,1,1,1,1,1
Remove_10:gemini:image_coordinates_v2,Remove_10,gemini,google/gemini-3.1-pro-preview,green_container_center,green goal container,1,270.0,52.0,270.0,49.0,0.0,3.0,3.0,499.0,1,1,1,0,0,1,1,0,0
